Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1241,PLINTA SMART 552,1,9007767504124,9548,16.70,Buc,40.00,CORNER,04.06.2014
1242,PLINTA SMART 553,1,9007767498553,8780,13.55,Buc,16.00,CORNER,17.06.2013
1243,PLINTA SMART 554,1,9007767499956,8996,13.55,Buc,4.00,CORNER,16.09.2013
1244,PLINTA SMART 590,1,9007767511641,10848,20.40,Buc,30.00,CORNER,29.09.2015
1245,PLINTA SMART 591,1,9007767514369,11131,13.50,Buc,0.00,CORNER,05.02.2016
1246,PLINTA SMART 592,1,9007767514376,10449,13.50,Buc,25.00,CORNER,20.05.2015
1247,TERMINAL GLAF INT NUC,1,9007767498324,8742,6.77,Buc,0.00,CORNER,27.05.2013
1248,TERMINAL GLAF PVC ALB,1,9007767469973,2354,6.77,Buc,0.00,CORNER,19.03.2009
1249,TERMINAL GLAF PVC INT STEJAR,1,9007767501116,9146,6.77,Buc,0.00,CORNER,07.11.2013
1250,TERMINAL PVC LAMBRIU  ALB,1,9007767458199,751,8.00,Buc,21.00,CORNER,21.07.2008
1251,ANZA PERIE PT SPALARE,1,7311490030204,15120,96.00,Buc,1.00,D-MARK TIC,18.10.2021
1252,ANZA REZERVA TERACE TOOL,1,7311490046168,15115,51.00,Buc,2.00,D-MARK TIC,18.10.2021
1253,ANZA SUPORT TERRACE TOOL 2 IN 1,1,7311490046137,15114,115.70,Buc,2.00,D-MARK TIC,18.10.2021
1254,BAZA FEELINGS INT TRS 2.7L,1,6408070037140,14880,120.00,CANIS,1.00,D-MARK TIC,15.07.2021
1255,BAZA OPTIVA 5 INT TRS 2.7L ACRILICA CU LATEX,1,5902829029581,14873,81.50,GAL,1.00,D-MARK TIC,15.07.2021
1256,COLORANT BH AVATIN 1L,1,,14996,242.50,BUC,0.00,D-MARK TIC,14.09.2021
1257,COLORANT BW AVATIN 1L,1,,14997,128.00,Buc,0.00,D-MARK TIC,14.09.2021
1258,COLORANT CH AVATINT 1L,1,6408070049457,14861,179.00,BIDON,0.00,D-MARK TIC,15.07.2021
1259,COLORANT CW AVATINT 1L,1,6408070049464,14862,128.00,BIDON,0.00,D-MARK TIC,15.07.2021
